Indoor Temperature,Heater State,Cost
21.017406866711074,0.75,50.22839999999996
21.21257199500856,0.5,50.55884999999996
21.10403105637288,0.5,50.889299999999956
20.999735904413004,0.75,51.384974999999955
21.195592266241512,0.5,51.715424999999954
21.087715522213543,0.5,52.04587499999995
20.984058583617337,0.75,52.54154999999995
21.180528193871584,0.5,52.87199999999995
21.073240709882782,0.5,53.20244999999995
20.970149981290852,0.75,53.69812499999995
21.16716365316074,0.5,54.02857499999995
21.060398948775575,0.75,54.524249999999945
21.253100021150264,0.25,54.689474999999945
20.845337265367757,0.75,55.18514999999994
21.044886210740415,0.75,55.68082499999994
21.235847078668122,0.5,56.01127499999994
21.122483999057433,0.5,56.34172499999994
21.012772995100466,0.75,56.83739999999994
21.202643018053408,0.5,57.16784999999994
21.088231763958163,0.5,57.49829999999994
20.977513586868906,0.75,57.993974999999935
21.166415834195412,0.5,58.324424999999934
21.05185699917165,0.75,58.82009999999993
21.237851161554758,0.5,59.15054999999993
21.120497996899278,0.5,59.48099999999993
21.007735326016203,0.75,59.97667499999993
21.19545539213989,0.5,60.30712499999993
21.079760619194992,0.5,60.63757499999993
20.96859146885484,0.75,61.133249999999926
21.15784272191375,0.5,61.463699999999925
21.043619240594804,0.75,61.95937499999992
21.229935638680345,0.5,62.28982499999992
21.113283274011177,0.5,62.62027499999992
21.001585159131363,0.75,63.11594999999992
21.190719308262047,0.5,63.44639999999992
21.076774472909765,0.5,63.77684999999992
20.967677977152555,0.75,64.27252499999992
21.15931197809164,0.5,64.60297499999992
21.04776920805694,0.75,65.09864999999992
21.23705262542163,0.5,65.42909999999992
21.12325121939052,0.5,65.75954999999992
21.014292542441915,0.75,66.25522499999992
21.205276632842022,0.5,66.58567499999992
21.09232703646273,0.5,66.91612499999992
20.983404510699202,0.75,67.41179999999993
21.17442333816155,0.5,67.74224999999993
21.06150712003778,0.5,68.07269999999993
20.952616666875393,1.0,68.73359999999992
21.43973812154695,0.25,68.89882499999993
21.01919829093989,0.5,69.22927499999993
20.91078932119966,1.0,69.89017499999993
21.398373425147252,0.25,70.05539999999993
20.978278146403802,0.5,70.38584999999993
20.8702963390297,1.0,71.04674999999993
21.35829089606943,0.25,71.21197499999994
20.938590014759384,0.75,71.70764999999994
21.127058986397067,0.75,72.20332499999995
21.307764464131598,0.25,72.36854999999996
20.888866513515897,0.75,72.86422499999996
21.078107007676163,0.75,73.35989999999997
21.259553828352306,0.25,73.52512499999997
20.841368221629345,0.75,74.02079999999998
21.03090202583634,0.75,74.51647499999999
21.212239514024553,0.5,74.84692499999998
21.089629491602114,0.5,75.17737499999998
20.971033256709816,0.75,75.67304999999999
21.1523656115511,0.5,76.00349999999999
21.029750656582426,0.75,76.499175
21.207221491279164,0.5,76.829625
21.080896066921394,0.5,77.16007499999999
20.958729765155635,0.75,77.65575
21.136631703126067,0.75,78.151425
21.306792327801137,0.25,78.31665000000001
20.87737083709681,0.75,78.81232500000002
21.056108270441626,0.75,79.30800000000002
21.2270717084895,0.5,79.63845000000002
21.09449343676476,0.5,79.96890000000002
20.966318879731293,0.75,80.46457500000002
21.138447586844904,0.5,80.79502500000002
21.00698900245485,0.75,81.29070000000003
21.175962143231,1.0,81.95160000000003
21.6336150469024,1.0,82.61250000000003
22.072192473368126,1.0,83.27340000000002
22.49244059644953,1.0,83.93430000000002
22.89507640194998,1.0,84.59520000000002
23.280788829400084,1.0,85.25610000000002
23.65023986914136,1.0,85.91700000000002
24.00406561649536,1.0,86.57790000000001
24.342877284697007,1.0,87.23880000000001
24.667262178205014,1.0,87.89970000000001
24.977784627939492,0.25,88.06492500000002
24.386771462368028,0.25,88.23015000000002
23.81809457028533,0.25,88.39537500000003
23.270880225578853,0.25,88.56060000000004
22.744288879606184,0.25,88.72582500000004
22.23751382427782,0.25,88.89105000000005
21.749779907436064,0.25,89.05627500000006
21.280342298484328,0.25,89.22150000000006
20.82848530230119,0.25,89.38672500000007
20.393521219550493,0.25,89.55195000000008
19.974789251572595,0.25,89.71717500000008
19.571654448112884,0.25,89.88240000000009
19.184680203663348,0.25,90.0476250000001
18.81323436701006,0.25,90.2128500000001
18.456709514744436,0.25,90.37807500000011
18.114521983987746,0.5,90.70852500000011
18.082182752141804,0.75,91.20420000000011
18.347571509620447,0.25,91.36942500000012
18.010826628390102,0.5,91.69987500000012
17.983717146411344,0.75,92.19555000000013
18.25413108207589,0.25,92.36077500000013
17.922214809563254,0.75,92.85645000000014
18.196208034364954,0.5,93.18690000000014
18.16419401858012,0.5,93.51735000000014
18.134214630632027,0.75,94.01302500000014
18.402262091345715,0.25,94.17825000000015
18.06846308223231,0.5,94.50870000000015
18.044575408091628,0.75,95.00437500000015
18.31847629356123,0.25,95.16960000000016
17.990301741284824,0.5,95.50005000000016
17.97181851258086,0.75,95.99572500000016
18.25091243825415,0.5,96.32617500000016
18.22379959965823,0.25,96.49140000000017
17.902457860778036,0.75,96.98707500000017
18.18661197607841,0.5,97.31752500000017
18.164361388101803,0.5,97.64797500000017
18.143763512785792,0.75,98.14365000000018
18.42082551029892,0.25,98.30887500000019
18.095688417114772,0.5,98.63932500000018
18.08012383147379,0.75,99.13500000000019
18.36202223189732,0.25,99.3002250000002
18.041532356461794,0.5,99.6306750000002
18.0296508654466,0.75,100.1263500000002
18.314305950895374,0.25,100.29157500000021
17.99568258917019,0.5,100.6220250000002
17.9855945996071,0.75,101.11770000000021
18.271973030264036,0.25,101.28292500000022
17.95500560179891,0.5,101.61337500000022
17.946508770495218,0.75,102.10905000000022
18.23441611820909,0.5,102.43950000000022
18.21498960947155,0.25,102.60472500000023
17.90025119663669,0.75,103.10040000000023
18.189576828787022,0.5,103.43085000000023
18.171121956423654,0.25,103.59607500000024
17.856926003394978,0.75,104.09175000000025
18.14677287599734,0.75,104.58742500000025
18.4248906639568,0.25,104.75265000000026
18.09959455450236,0.5,105.08310000000026
18.082703665365596,0.75,105.57877500000026
18.362154135743083,0.25,105.74400000000027
18.038138578281735,0.5,106.07445000000027
18.022478149894535,0.75,106.57012500000027
18.303110949192973,0.25,106.73535000000028
17.98023147159262,0.5,107.06580000000028
17.965662683127007,0.75,107.56147500000029
18.247344420760953,0.5,107.89192500000028
18.22154465945363,0.25,108.05715000000029
17.90029112687786,0.75,108.5528250000003
18.18335649067271,0.5,108.8832750000003
18.1588862323393,0.5,109.2137250000003
18.134982005871834,0.25,109.3789500000003
17.815549860660614,0.25,109.54417500000031
17.50783057723617,0.25,109.70940000000031
17.211365984579018,0.25,109.87462500000032
16.925715833906526,0.25,110.03985000000033
16.650457097610296,0.25,110.20507500000033
16.385183295616944,0.25,110.37030000000034
16.12950384809959,0.25,110.53552500000035
15.883043453509254,0.25,110.70075000000035
15.645441490935774,0.25,110.86597500000036
15.416351445846491,1.0,111.52687500000036
16.083655785856127,1.0,112.18777500000036
16.72446606953618,1.0,112.84867500000036
17.339818662637363,1.0,113.50957500000035
17.930709391479358,1.0,114.17047500000035
18.498095128728302,1.0,114.83137500000035
19.042895317143536,1.0,115.49227500000035
19.56599343372009,1.0,116.15317500000035
20.068238396558442,1.0,116.81407500000034
20.550445916701843,1.0,117.47497500000034
21.013399797093964,0.5,117.80542500000034
20.865709562346748,1.0,118.46632500000034
21.316331301494554,0.25,118.63155000000035
20.861501849936108,0.75,119.12722500000035
21.016998710924497,0.75,119.62290000000036
21.1668041835619,0.5,119.95335000000036
21.015069088213664,0.75,120.44902500000036
21.165732380039675,0.5,120.77947500000036
21.014821548639716,0.75,121.27515000000037
21.166276861751165,0.5,121.60560000000036
21.016127070207308,0.75,122.10127500000037
21.168313653643455,0.5,122.43172500000037
21.018866527385132,0.5,122.76217500000037
20.875656480819252,1.0,123.42307500000037
21.330583157007904,0.25,123.58830000000037
20.879890246633796,0.75,124.08397500000038
21.03936184007642,0.75,124.57965000000038
21.19298656589631,0.5,124.91010000000038
21.04492132632827,0.5,125.24055000000038
20.90303911130841,1.0,125.90145000000038
21.359241678369298,0.25,126.06667500000039
20.90977474995256,0.75,126.5623500000004
21.07081553787096,0.75,127.0580250000004
