Indoor Temperature,Outdoor Temperature,Target Temperature,Heater State,Cost
19.78459601010544,-1.5,21.0,1.0,54.19379999999997
20.136295512911033,-1.52,21.0,1.0,54.854699999999966
20.473455277842113,-1.54,21.0,1.0,55.515599999999964
20.796644054589937,-1.56,21.0,1.0,56.17649999999996
21.106408345112396,-1.58,21.0,1.0,56.83739999999996
21.40327327389673,-1.6,21.0,1.0,57.49829999999996
21.687743424180216,-1.6300000000000001,21.0,1.0,58.159199999999956
21.95991247231003,-1.6600000000000001,21.0,1.0,58.820099999999954
22.220261599454112,-1.69,21.0,1.0,59.48099999999995
22.46925316445753,-1.72,21.0,1.0,60.14189999999995
22.70733144011369,-1.75,21.0,1.0,60.80279999999995
22.93492332063488,-1.78,21.0,1.0,61.463699999999946
23.152439001448748,-1.81,21.0,1.0,62.124599999999944
22.175985395646123,-1.8399999999999999,21.0,0.0,62.124599999999944
21.236554135138253,-1.8699999999999999,21.0,0.0,62.124599999999944
20.332697019989375,-1.9,21.0,0.0,62.124599999999944
19.463022499377587,-1.92,21.0,0.0,62.124599999999944
18.626584624806753,-1.94,21.0,0.0,62.124599999999944
19.006370517974343,-1.96,21.0,1.0,62.78549999999994
19.370518020321636,-1.98,21.0,1.0,63.44639999999994
19.71963885745383,-2.0,21.0,1.0,64.10729999999994
20.054320826157596,-2.02,21.0,1.0,64.76819999999994
20.37512873042263,-2.04,21.0,1.0,65.42909999999993
20.682605280848954,-2.06,21.0,1.0,66.08999999999993
20.97727195887214,-2.08,21.0,1.0,66.75089999999993
21.259629847182758,-2.1,21.0,1.0,67.41179999999993
21.53016042766233,-2.1100000000000003,21.0,1.0,68.07269999999993
21.789717517257007,-2.12,21.0,1.0,68.73359999999992
22.03873036507751,-2.13,21.0,1.0,69.39449999999992
22.277611429333557,-2.14,21.0,1.0,70.05539999999992
22.506757034142126,-2.1500000000000004,21.0,1.0,70.71629999999992
22.72654800064337,-2.16,21.0,1.0,71.37719999999992
